Usuario             ;Rodada ;Jogo ;Mandante ;Visitante
rlzenha             ;    26;   10;    02;        01   
Ronaldo             ;    26;   01;    02;        01   
Ronaldo             ;    26;   02;    02;        01   
Ronaldo             ;    26;   03;    00;        02   
Ronaldo             ;    26;   04;    02;        01   
Ronaldo             ;    26;   05;    02;        01   
Ronaldo             ;    26;   06;    01;        01   
Ronaldo             ;    26;   07;    02;        00   
Ronaldo             ;    26;   08;    01;        02   
Ronaldo             ;    26;   09;    02;        00   
Ronaldo             ;    26;   10;    01;        01   
veio                ;    26;   01;    02;        01   
veio                ;    26;   02;    03;        00   
veio                ;    26;   03;    01;        01   
veio                ;    26;   04;    03;        01   
veio                ;    26;   05;    02;        00   
veio                ;    26;   06;    01;        00   
veio                ;    26;   07;    03;        01   
veio                ;    26;   08;    02;        02   
veio                ;    26;   09;    01;        02   
veio                ;    26;   10;    01;        00   
Xuxa                ;    26;   01;    02;        01   
Xuxa                ;    26;   02;    01;        01   
Xuxa                ;    26;   03;    01;        03   
Xuxa                ;    26;   04;    01;        00   
Xuxa                ;    26;   05;    02;        00   
Xuxa                ;    26;   06;    01;        02   
Xuxa                ;    26;   07;    01;        02   
Xuxa                ;    26;   08;    01;        02   
Xuxa                ;    26;   09;    02;        01   
Xuxa                ;    26;   10;    02;        01   
Zenha               ;    26;   01;    00;        00   
Zenha               ;    26;   02;    00;        00   
Zenha               ;    26;   03;    00;        00   
Zenha               ;    26;   04;    00;        00   
Zenha               ;    26;   05;    00;        00   
Zenha               ;    26;   06;    00;        00   
Zenha               ;    26;   07;    00;        00   
Zenha               ;    26;   08;    00;        00   
Zenha               ;    26;   09;    00;        00   
Zenha               ;    26;   10;    00;        00   
